# Type       : particleCollectorFmg
# Source     : particleCollectorFmg
# Bins       : 42
# Total area : 10.7768
# Geometry   :
#	Bin	(Centre_x Centre_y Centre_z)	Area
#	0	(0.8763 6.9476 0.8763)	0.284516
#	1	(0.3429 6.9476 0.8763)	0.284516
#	2	(-0.3429 6.9476 0.8763)	0.284516
#	3	(-0.8763 6.9476 0.8763)	0.284516
#	4	(0.8763 6.9476 0.3429)	0.284516
#	5	(0.3429 6.9476 0.3429)	0.284516
#	6	(-0.3429 6.9476 0.3429)	0.284516
#	7	(-0.8763 6.9476 0.3429)	0.284516
#	8	(0.8763 6.9476 -0.3429)	0.284516
#	9	(0.3429 6.9476 -0.3429)	0.284516
#	10	(-0.3429 6.9476 -0.3429)	0.284516
#	11	(-0.8763 6.9476 -0.3429)	0.284516
#	12	(0.8763 6.9476 -0.8763)	0.284516
#	13	(0.3429 6.9476 -0.8763)	0.284516
#	14	(-0.3429 6.9476 -0.8763)	0.284516
#	15	(-0.8763 6.9476 -0.8763)	0.284516
#	16	(0 6.9476 0.6096)	0.16258
#	17	(0.6096 6.9476 0)	0.16258
#	18	(-0.6096 6.9476 0)	0.16258
#	19	(0 6.9476 -0.6096)	0.16258
#	20	(0.8763 6.9476 2.0955)	0.284516
#	21	(0.3429 6.9476 2.0955)	0.284516
#	22	(-0.3429 6.9476 2.0955)	0.284516
#	23	(-0.8763 6.9476 2.0955)	0.284516
#	24	(0.8763 6.9476 1.5621)	0.284516
#	25	(0.3429 6.9476 1.5621)	0.284516
#	26	(-0.3429 6.9476 1.5621)	0.284516
#	27	(-0.8763 6.9476 1.5621)	0.284516
#	28	(0.8763 6.9476 -1.5621)	0.284516
#	29	(0.3429 6.9476 -1.5621)	0.284516
#	30	(-0.3429 6.9476 -1.5621)	0.284516
#	31	(-0.8763 6.9476 -1.5621)	0.284516
#	32	(0.8763 6.9476 -2.0955)	0.284516
#	33	(0.3429 6.9476 -2.0955)	0.284516
#	34	(-0.3429 6.9476 -2.0955)	0.284516
#	35	(-0.8763 6.9476 -2.0955)	0.284516
#	36	(0 6.9476 1.8288)	0.16258
#	37	(0.5715 6.9476 1.2192)	0.174193
#	38	(-0.5715 6.9476 1.2192)	0.174193
#	39	(0.5715 6.9476 -1.2192)	0.174193
#	40	(-0.5715 6.9476 -1.2192)	0.174193
#	41	(0 6.9476 -1.8288)	0.16258
#
# Output format:
#	Time	bin_0	mass[0]	mom[0]	massFlowRate[0]
#	Time	bin_1	mass[1]	mom[1]	massFlowRate[1]
#	Time	bin_2	mass[2]	mom[2]	massFlowRate[2]
#	Time	bin_3	mass[3]	mom[3]	massFlowRate[3]
#	Time	bin_4	mass[4]	mom[4]	massFlowRate[4]
#	Time	bin_5	mass[5]	mom[5]	massFlowRate[5]
#	Time	bin_6	mass[6]	mom[6]	massFlowRate[6]
#	Time	bin_7	mass[7]	mom[7]	massFlowRate[7]
#	Time	bin_8	mass[8]	mom[8]	massFlowRate[8]
#	Time	bin_9	mass[9]	mom[9]	massFlowRate[9]
#	Time	bin_10	mass[10]	mom[10]	massFlowRate[10]
#	Time	bin_11	mass[11]	mom[11]	massFlowRate[11]
#	Time	bin_12	mass[12]	mom[12]	massFlowRate[12]
#	Time	bin_13	mass[13]	mom[13]	massFlowRate[13]
#	Time	bin_14	mass[14]	mom[14]	massFlowRate[14]
#	Time	bin_15	mass[15]	mom[15]	massFlowRate[15]
#	Time	bin_16	mass[16]	mom[16]	massFlowRate[16]
#	Time	bin_17	mass[17]	mom[17]	massFlowRate[17]
#	Time	bin_18	mass[18]	mom[18]	massFlowRate[18]
#	Time	bin_19	mass[19]	mom[19]	massFlowRate[19]
#	Time	bin_20	mass[20]	mom[20]	massFlowRate[20]
#	Time	bin_21	mass[21]	mom[21]	massFlowRate[21]
#	Time	bin_22	mass[22]	mom[22]	massFlowRate[22]
#	Time	bin_23	mass[23]	mom[23]	massFlowRate[23]
#	Time	bin_24	mass[24]	mom[24]	massFlowRate[24]
#	Time	bin_25	mass[25]	mom[25]	massFlowRate[25]
#	Time	bin_26	mass[26]	mom[26]	massFlowRate[26]
#	Time	bin_27	mass[27]	mom[27]	massFlowRate[27]
#	Time	bin_28	mass[28]	mom[28]	massFlowRate[28]
#	Time	bin_29	mass[29]	mom[29]	massFlowRate[29]
#	Time	bin_30	mass[30]	mom[30]	massFlowRate[30]
#	Time	bin_31	mass[31]	mom[31]	massFlowRate[31]
#	Time	bin_32	mass[32]	mom[32]	massFlowRate[32]
#	Time	bin_33	mass[33]	mom[33]	massFlowRate[33]
#	Time	bin_34	mass[34]	mom[34]	massFlowRate[34]
#	Time	bin_35	mass[35]	mom[35]	massFlowRate[35]
#	Time	bin_36	mass[36]	mom[36]	massFlowRate[36]
#	Time	bin_37	mass[37]	mom[37]	massFlowRate[37]
#	Time	bin_38	mass[38]	mom[38]	massFlowRate[38]
#	Time	bin_39	mass[39]	mom[39]	massFlowRate[39]
#	Time	bin_40	mass[40]	mom[40]	massFlowRate[40]
#	Time	bin_41	mass[41]	mom[41]	massFlowRate[41]
1	0	0.0543325	0.366417	0.0543325
1	1	0.0786379	0.777019	0.0786379
1	2	0.093642	0.929431	0.093642
1	3	0.0531554	0.361727	0.0531554
1	4	0.130414	0.54312	0.130414
1	5	0.451657	4.05881	0.451657
1	6	0.483009	4.29424	0.483009
1	7	0.138497	0.535662	0.138497
1	8	0.12311	-0.496041	0.12311
1	9	0.470602	-4.11717	0.470602
1	10	0.472593	-4.18942	0.472593
1	11	0.131429	-0.491512	0.131429
1	12	0.0451615	-0.299298	0.0451615
1	13	0.0653273	-0.646662	0.0653273
1	14	0.0756728	-0.750457	0.0756728
1	15	0.0479379	-0.313421	0.0479379
1	16	0.386513	4.65286	0.386513
1	17	0.593481	0.00312152	0.593481
1	18	0.607641	0.135907	0.607641
1	19	0.393706	-4.70683	0.393706
1	20	0.00296603	0.0274422	0.00296603
1	21	0.00565689	0.0491978	0.00565689
1	22	0.0057185	0.0441132	0.0057185
1	23	0.00388096	0.0292244	0.00388096
1	24	0.00705021	0.0423107	0.00705021
1	25	0.0115779	0.0908395	0.0115779
1	26	0.0145273	0.124386	0.0145273
1	27	0.0093879	0.0650217	0.0093879
1	28	0.0105122	-0.0761414	0.0105122
1	29	0.0152003	-0.119917	0.0152003
1	30	0.0146945	-0.126324	0.0146945
1	31	0.00632597	-0.0500608	0.00632597
1	32	0.00330157	-0.0232205	0.00330157
1	33	0.00611219	-0.0524234	0.00611219
1	34	0.00468042	-0.035962	0.00468042
1	35	0.00416501	-0.0352021	0.00416501
1	36	0.0060076	0.0494882	0.0060076
1	37	0.0177288	0.143366	0.0177288
1	38	0.0210844	0.184128	0.0210844
1	39	0.0203592	-0.165746	0.0203592
1	40	0.0180113	-0.148463	0.0180113
1	41	0.00833922	-0.0632704	0.00833922
2	0	0.0523959	0.368907	0.0523959
2	1	0.0756854	0.743724	0.0756854
2	2	0.07836	0.82245	0.07836
2	3	0.0552517	0.385434	0.0552517
2	4	0.140281	0.534279	0.140281
2	5	0.48445	4.15948	0.48445
2	6	0.486762	4.30826	0.486762
2	7	0.127608	0.526641	0.127608
2	8	0.140333	-0.527422	0.140333
2	9	0.468362	-4.14754	0.468362
2	10	0.486958	-4.20522	0.486958
2	11	0.123363	-0.49972	0.123363
2	12	0.0525959	-0.382768	0.0525959
2	13	0.0820964	-0.801704	0.0820964
2	14	0.0774224	-0.753951	0.0774224
2	15	0.0489355	-0.33114	0.0489355
2	16	0.40368	4.74269	0.40368
2	17	0.613598	-0.00340193	0.613598
2	18	0.607718	0.0457394	0.607718
2	19	0.374544	-4.41166	0.374544
2	20	0.00368844	0.0317052	0.00368844
2	21	0.00308454	0.0234833	0.00308454
2	22	0.00367461	0.0343238	0.00367461
2	23	0.00184337	0.0143363	0.00184337
2	24	0.0113168	0.0909716	0.0113168
2	25	0.0156439	0.132642	0.0156439
2	26	0.0161343	0.134125	0.0161343
2	27	0.0103197	0.070951	0.0103197
2	28	0.0081945	-0.0644673	0.0081945
2	29	0.0135557	-0.112598	0.0135557
2	30	0.0179922	-0.134664	0.0179922
2	31	0.0132518	-0.1086	0.0132518
2	32	0.00363551	-0.0289078	0.00363551
2	33	0.00634622	-0.0547167	0.00634622
2	34	0.00534502	-0.0433004	0.00534502
2	35	0.0042131	-0.0336483	0.0042131
2	36	0.00579164	0.0480576	0.00579164
2	37	0.0162494	0.14363	0.0162494
2	38	0.0160096	0.138257	0.0160096
2	39	0.0144036	-0.116216	0.0144036
2	40	0.0146531	-0.134253	0.0146531
2	41	0.00589612	-0.0480017	0.00589612
